mark,model,generation_name,year,mileage,vol_engine,fuel,city,province,price
mitsubishi,outlander,gen-iii-2012-outlander,2014,155556,2268,Diesel,Łódź,Łódzkie,51000
kia,ceed,gen-iii-2018,2021,5,1482,Gasoline,Grudziądz,Kujawsko-pomorskie,90598
hyundai,ix35,,2013,170650,1995,Diesel,Kościołków,Wielkopolskie,47900
volvo,v90,,2018,181000,1969,Diesel,Tułowice,Mazowieckie,118600
skoda,octavia,gen-iii-2013,2018,106957,1398,Gasoline,Kędzierzyn-Koźle,Opolskie,75900
chevrolet,cruze,,2013,81500,1598,Gasoline,Łężany,Podkarpackie,24600
opel,astra,gen-k-2015,2018,135962,1598,Diesel,Natolin,Mazowieckie,54900
audi,rs6,,2017,93000,3993,Gasoline,Widełki,Świętokrzyskie,299000
audi,a3,gen-8p-2003-2012,2003,299300,1896,Diesel,Łochów,Mazowieckie,16900
renault,talisman,,2016,100928,1598,Diesel,Leszno,Wielkopolskie,69900
ford,focus,gen-mk4-2018,2014,333970,1997,Diesel,Wadowice Górne,Podkarpackie,21900
mitsubishi,lancer,gen-ix-2005-2008,2009,221000,1798,Gasoline,Mysłowice,Śląskie,18999
ford,focus,gen-mk3-2010,2017,168309,1498,Diesel,Włocławek,Kujawsko-pomorskie,48900
volkswagen,touareg,gen-i-2002-2010-touareg,2005,330000,2967,Diesel,Limanowa,Małopolskie,20000
skoda,octavia,gen-iii-2013,2017,133000,1598,Diesel,Sosnowiec,Śląskie,58900
skoda,fabia,gen-iii-2014,2019,72546,999,Gasoline,Wieliczka,Małopolskie,52900
fiat,500,,2012,38000,1242,Gasoline,Ostrów Mazowiecka,Mazowieckie,23900
skoda,kamiq,,2021,1,1500,Gasoline,Dobroń,Łódzkie,114900
mazda,3,gen-iv-2019-3,2020,15465,1998,Gasoline,Warszawa,Mazowieckie,99900
hyundai,i30,gen-iii-2017,2021,14884,1498,Gasoline,Lublin,Lubelskie,69900
opel,astra,gen-j-2009-2015,2011,131000,1364,Gasoline,Szczucin,Małopolskie,29900
volkswagen,golf,gen-vii-2012,2017,112426,1598,Diesel,Długołęka,Dolnośląskie,57900
mercedes-benz,clk-klasa,gen-w208-1997-2002,1998,210000,2295,Gasoline,Poczesna,Śląskie,18900
volkswagen,arteon,,2017,158959,1968,Diesel,Toruń,Kujawsko-pomorskie,109900
opel,vivaro,,2017,258000,1598,Diesel,Oborniki,Wielkopolskie,59900
ford,grand-c-max,,2012,198918,1560,Diesel,Czaplinek,Zachodniopomorskie,27500
audi,a5,gen-f5-2016,2018,147937,1984,Gasoline,Łódź,Łódzkie,169900
mitsubishi,outlander,gen-ii-2006-2013,2010,265400,2200,Diesel,Kamień Pomorski,Zachodniopomorskie,41000
volvo,xc-90,gen-i-2002,2018,104731,1969,Diesel,Gaj,Małopolskie,229900
audi,q5,gen-8r-2008-2016,2016,103883,2995,Gasoline,Warszawa,Mazowieckie,103900
bmw,seria-3,gen-f30-2012,2019,53000,1995,Diesel,Warszawa,Mazowieckie,109900
peugeot,308,,2022,2,1600,Hybrid,Łódź,Łódzkie,166900
volkswagen,polo,gen-iv-2001-2009,2005,98000,1390,Gasoline,Kalisz,Wielkopolskie,8999
bmw,seria-3,gen-e46-1998-2007,2000,254000,1951,Diesel,Kraków,Małopolskie,8900
toyota,aygo,gen-ii-2014-aygo,2019,46000,998,Gasoline,Mroków,Mazowieckie,44900
volkswagen,tiguan-allspace,,2022,1,1498,Gasoline,Włocławek,Kujawsko-pomorskie,161250
volkswagen,tiguan,gen-i-2007-2016,2015,160000,2000,Diesel,Goczałkowice-Zdrój,Śląskie,65500
opel,meriva,gen-ii-2010,2010,85868,1364,Gasoline,Łódź,Łódzkie,23900
mercedes-benz,e-klasa,gen-w213-2016,2022,5,2999,Gasoline,Warszawa,Mazowieckie,543200
kia,ceed,gen-i-2006-2012,2009,173253,1991,Diesel,Łomża,Podlaskie,17700
audi,a4,gen-b8-2007-2015,2008,246000,1968,Diesel,Brzesko,Małopolskie,24999
ford,c-max,gen-ii-2010-c-max,2013,160000,1997,Diesel,Poznań,Wielkopolskie,28900
peugeot,208,,2020,1000,0,Electric,Kraków,Małopolskie,120300
mazda,3,gen-iv-2019-3,2019,21000,1998,Gasoline,Zawiercie,Śląskie,84900
peugeot,3008,gen-ii-2016-3008,2018,156421,1499,Diesel,Kraków,Małopolskie,79900
opel,astra,gen-h-2004-2013,2006,220000,1910,Diesel,Wrocław,Dolnośląskie,8700
mercedes-benz,a-klasa,gen-w168-1997-2004,2001,137182,1598,Gasoline,Rydułtowy,Śląskie,6900
bmw,seria-5,gen-g30-2017,2021,1,1995,Diesel,Warszawa,Mazowieckie,350200
opel,signum,,2004,180000,1998,Gasoline,Krobia,Wielkopolskie,7900
mercedes-benz,a-klasa,gen-w169-2004-2012,2008,162356,1991,Diesel,Warszawa,Mazowieckie,14900
skoda,fabia,gen-i-1999-2008,2005,165000,1390,Gasoline,Gdańsk,Pomorskie,13700
renault,megane,gen-iv-2016,2017,59370,1598,Gasoline,Zabrze,Śląskie,52900
skoda,kodiaq,,2017,121000,1968,Diesel,Warszawa,Mazowieckie,99900
peugeot,407,,2007,245000,1749,LPG,Ostrowiec Świętokrzyski,Świętokrzyskie,14900
bmw,seria-1,gen-e87-2004-2013,2007,270232,1596,Gasoline,Kalisz,Wielkopolskie,7200
skoda,fabia,gen-ii-2007,2011,37337,1198,Gasoline,Łódź,Łódzkie,24000
peugeot,307,,2005,260200,1560,Diesel,Szamocin,Wielkopolskie,6400
volkswagen,passat,gen-b8-2014,2022,1,1984,Gasoline,Łódź,Łódzkie,186700
seat,leon,gen-seat-leon-iv,2020,14500,1498,Gasoline,Białystok,Podlaskie,104900
renault,arkana,,2021,5,1333,Gasoline,Poznań,Wielkopolskie,131955
ford,fiesta,gen-mk7-2008,2016,79000,998,Gasoline,Łowicz,Łódzkie,35999
volkswagen,passat,gen-b6-2005-2010,2009,398765,1968,Diesel,Rogów Opolski,Opolskie,15900
seat,toledo,gen-iii-2004-2009,2005,240000,1896,Diesel,Chełm Śląski,Śląskie,11711
volvo,v60,gen-i-2011-2018,2013,235000,1560,Diesel,Kutno,Łódzkie,36900
opel,corsa,gen-d-2006-2014,2011,150357,1398,Gasoline,Paparzyn,Kujawsko-pomorskie,15999
mazda,6,gen-ii-2007-2013-6,2009,199000,1998,Diesel,Kutno,Łódzkie,19900
ford,ka,gen-ii-2008-ka,2014,52500,1242,Gasoline,Warszawa,Mazowieckie,16700
nissan,murano,,2014,98000,3498,Gasoline,Mińsk Mazowiecki,Mazowieckie,44200
volkswagen,golf,gen-vii-2012,2017,57000,1968,Diesel,Daleszyce,Świętokrzyskie,86900
bmw,seria-1,gen-f20-2011,2017,84632,1995,Diesel,Swarzędz,Wielkopolskie,79900
ford,mondeo,gen-mk4-2007-2014,2014,180200,1560,Diesel,Turbia,Podkarpackie,35800
mazda,2,gen-ii-2007-2014,2009,188000,1349,Gasoline,Kiekrz,Wielkopolskie,14900
skoda,fabia,gen-i-1999-2008,2002,223333,1390,Gasoline,Ząbkowice Śląskie,Dolnośląskie,6499
alfa-romeo,mito,,2011,186000,1248,Diesel,Pierzchów,Małopolskie,17950
renault,laguna,gen-iii-2007,2011,198000,1997,Gasoline,Radom,Mazowieckie,36900
bmw,seria-5,gen-g30-2017,2021,1,2993,Diesel,Poznań,Wielkopolskie,398225
ford,mondeo,gen-mk5-2014,2015,194000,1997,Diesel,Mielec,Podkarpackie,51900
skoda,fabia,gen-ii-2007,2011,214340,1598,Diesel,Paniówki,Śląskie,15190
opel,vivaro,,2018,222000,1598,Diesel,Kostrzyn nad Odrą,Lubuskie,85000
mazda,3,gen-iii-2013-3,2015,92000,1998,Gasoline,Białystok,Podlaskie,42000
bmw,x5,gen-e70-2006-2013,2007,220750,4799,Gasoline,Szczecin,Zachodniopomorskie,46900
citroen,c5,gen-iii-2008,2010,215000,1598,Gasoline,Łuków,Lubelskie,20900
audi,a5,gen-8t-2007-2016,2007,219518,2698,Diesel,Chorzów,Śląskie,34999
audi,a8,gen-d3-2002-2010,2004,300000,2967,Diesel,Warszawa,Mazowieckie,29900
renault,captur,,2017,57000,1461,Diesel,Poniec,Wielkopolskie,42999
toyota,avensis,gen-ii-2003-2009,2008,280000,1998,Diesel,Warszawa,Mazowieckie,15700
audi,a4,gen-b6-2000-2004,2001,242000,1896,Diesel,Syrynia,Śląskie,12000
kia,venga,,2010,109000,1396,Gasoline,Olkusz,Małopolskie,23900
alfa-romeo,159,,2008,288633,1910,Diesel,Cieszyn,Śląskie,15000
bmw,seria-4,,2016,76000,2979,Gasoline,Inowrocław,Kujawsko-pomorskie,132000
opel,insignia,gen-a-2008-2017,2015,130000,1364,Gasoline,Bieruń,Śląskie,49900
honda,accord,gen-viii-2008,2010,114547,1997,Gasoline,Janki,Mazowieckie,48900
honda,jazz,gen-ii-2002-2008-jazz,2004,180200,1339,Gasoline,Nowy Sącz,Małopolskie,11900
bmw,x6,gen-f16-2014,2016,99000,2993,Diesel,Strzelce,Wielkopolskie,226320
renault,clio,gen-iv-2012-clio,2013,150000,1149,Gasoline,Niwy,Świętokrzyskie,26900
citroen,c5,gen-iii-2008,2010,235000,1997,Diesel,Myślenice,Małopolskie,24900
bmw,seria-3,gen-f30-2012,2018,167640,1995,Diesel,Mikołów,Śląskie,84900
kia,venga,,2010,170000,1582,Diesel,Nysa,Opolskie,21900
audi,tt,gen-8j-2006-2013,2008,263836,1984,Gasoline,Olkusz,Małopolskie,32900
fiat,freemont,,2013,199000,1956,Diesel,Ostrowiec Świętokrzyski,Świętokrzyskie,47900
opel,agila,gen-b-2008,2010,123000,1242,Gasoline,Gliwice,Śląskie,16300
volkswagen,caddy,gen-iv-2015,2019,27107,1968,Diesel,Gliwice,Śląskie,105799
volkswagen,touareg,gen-i-2002-2010-touareg,2008,224512,3597,Gasoline,Warszawa,Mazowieckie,29999
volvo,s40,,2003,177000,1783,Gasoline,Katowice,Śląskie,5400
seat,altea,,2006,188000,1595,Gasoline,Lidzbark,Warmińsko-mazurskie,14900
mercedes-benz,e-klasa,gen-w213-2016,2017,76000,1991,Gasoline,Kraków,Małopolskie,189900
bmw,x5,gen-e70-2006-2013,2008,168000,2996,Gasoline,Warszawa,Mazowieckie,57900
kia,ceed,gen-iii-2018,2021,5,1482,Gasoline,Włocławek,Kujawsko-pomorskie,90598
hyundai,i30,gen-i-2007-2012,2008,133000,1396,Gasoline,Tarnowskie Góry,Śląskie,16900
volkswagen,polo,gen-iv-2001-2009,2004,116000,1198,Gasoline,Konin,Wielkopolskie,5500
audi,a6,gen-c6-2004-2011,2006,239000,2393,Gasoline,Kiedrzyn,Mazowieckie,24900
opel,adam,,2013,141399,1398,Gasoline,Warszawa,Mazowieckie,31300
volkswagen,golf-plus,,2009,219300,1968,Diesel,Stargard Szczeciński,Zachodniopomorskie,21900
audi,q5,gen-8r-2008-2016,2010,149000,1968,Diesel,Rzeszów,Podkarpackie,58750
bmw,seria-5,gen-e39-1996-2003,1998,313000,1991,Gasoline,Słupca,Wielkopolskie,6300
mercedes-benz,c-klasa,gen-w205-2014,2016,230000,3982,Gasoline,Warszawa,Mazowieckie,169900
kia,xceed,,2021,10,1482,Gasoline,Łowicz,Łódzkie,93900
bmw,seria-5,gen-f10-2009,2011,221861,1995,Diesel,Bolesławiec,Dolnośląskie,49800
opel,meriva,gen-ii-2010,2011,128000,1364,Gasoline,Olsztyn,Warmińsko-mazurskie,27990
mini,countryman,,2022,10,1499,Gasoline,Bielsko-Biała,Śląskie,149900
alfa-romeo,giulia,,2021,1,1995,Gasoline,Bydgoszcz,Kujawsko-pomorskie,231900
seat,altea-xl,,2007,194000,1595,LPG,Bielsk,Mazowieckie,18900
volkswagen,golf,gen-v-2003-2009,2005,386913,1896,Diesel,Gdynia,Pomorskie,7900
volkswagen,polo,gen-v-2009,2011,162000,1390,Gasoline,Nowy Sącz,Małopolskie,34000
opel,signum,,2005,339887,1910,Diesel,Jasień,Małopolskie,6999
seat,ibiza,gen-v-2017,2020,9000,999,Gasoline,Wrocław,Dolnośląskie,60000
toyota,verso,,2013,193000,1998,Diesel,Częstochowa,Śląskie,39900
renault,megane,gen-iii-2008-2016,2011,150000,1598,Gasoline,Zawiercie,Śląskie,24600
audi,a3,gen-8p-2003-2012,2006,151664,1968,Diesel,Stargard Szczeciński,Zachodniopomorskie,10500
honda,civic,gen-x-2017,2020,3200,988,Gasoline,Leszno,Wielkopolskie,95000
ford,mondeo,gen-mk3-2000-2006,2002,252000,2967,Gasoline,Białystok,Podlaskie,36900
audi,a6,gen-c8-2018,2018,74500,1968,Diesel,Łódź,Łódzkie,199000
peugeot,3008,gen-i-2009-2016,2009,144000,1560,Diesel,Częstochowa,Śląskie,26900
renault,clio,gen-iii-2005-2012,2009,188000,1149,Gasoline,Szamotuły,Wielkopolskie,3900
bmw,seria-5,gen-g30-2017,2021,7000,1995,Diesel,Żórawina,Dolnośląskie,275000
